date,avg_return,holding_period,top_n,valid_count,cumulative_return
2025-10-16,-0.0032770184982806707,5,10,10,1.4712179833136643
2025-10-21,0.011286362836847322,5,10,10,1.487822683285437
2025-10-31,0.0014638525479195978,5,10,10,1.490000636311217
2025-11-05,-0.0023514405953397937,5,10,10,1.4864969883279129
2025-11-10,-0.003321898944170307,5,10,10,1.481558995551874
2025-11-20,0.0008976205864109485,5,10,10,1.4828888734062635
2025-11-25,0.0022780513663159473,5,10,10,1.4862669704304212
2025-12-05,-0.00240047181949908,5,10,10,1.4826992284516507
2025-12-10,-0.0002575798271840366,5,10,10,1.4823173150406204
2025-12-15,9.738951889332326e-05,5,10,10,1.4824616772107795
2025-12-25,0.008532230153343685,5,10,10,1.4951103814342537
2025-12-30,-0.008993787407139863,5,10,10,1.4816636765134261
2026-01-09,0.0057400213328648,5,10,10,1.4901684576247443
2026-01-14,0.0038311894100566944,5,10,10,1.4958775752387967
2026-01-19,-0.00197450412551676,5,10,10,1.4929239587952197
2026-01-29,-0.00027953812944871983,5,10,10,1.492506629624369
2026-02-03,-0.0035386331420157804,5,10,10,1.487225196200102
