date,open,high,low,close,volume,amount,code,name,type
2025-07-22,7.391,7.4,7.381,7.384,16181898,119582116,518800,黄金ETF,gold
2025-07-23,7.433,7.464,7.433,7.455,18993700,141497873,518800,黄金ETF,gold
2025-07-24,7.367,7.37,7.323,7.334,33566000,246579160,518800,黄金ETF,gold
2025-07-25,7.334,7.334,7.31,7.321,26134600,191317942,518800,黄金ETF,gold
2025-07-28,7.285,7.308,7.276,7.301,17825500,129934831,518800,黄金ETF,gold
2025-07-29,7.266,7.278,7.26,7.273,18105600,131595396,518800,黄金ETF,gold
2025-07-30,7.3,7.303,7.278,7.286,23987800,174815019,518800,黄金ETF,gold
2025-07-31,7.25,7.267,7.227,7.263,22761900,164917701,518800,黄金ETF,gold
2025-08-01,7.248,7.276,7.242,7.262,21644000,157127452,518800,黄金ETF,gold
2025-08-04,7.346,7.359,7.342,7.358,35042100,257594708,518800,黄金ETF,gold
2025-08-05,7.39,7.4,7.363,7.366,27222200,200893715,518800,黄金ETF,gold
2025-08-06,7.38,7.391,7.368,7.38,18711100,138050618,518800,黄金ETF,gold
2025-08-07,7.384,7.394,7.367,7.393,24069400,177685354,518800,黄金ETF,gold
2025-08-08,7.397,7.422,7.394,7.415,22506900,166738166,518800,黄金ETF,gold
2025-08-11,7.373,7.373,7.333,7.341,31053800,228402039,518800,黄金ETF,gold
2025-08-12,7.321,7.327,7.303,7.31,16468700,120463054,518800,黄金ETF,gold
2025-08-13,7.308,7.328,7.304,7.326,30400200,222388066,518800,黄金ETF,gold
2025-08-14,7.338,7.349,7.322,7.335,29222800,214310506,518800,黄金ETF,gold
2025-08-15,7.295,7.319,7.29,7.31,12230234,89330190,518800,黄金ETF,gold
2025-08-18,7.311,7.335,7.303,7.321,16239150,118843417,518800,黄金ETF,gold
2025-08-19,7.295,7.311,7.295,7.301,9761400,71279033,518800,黄金ETF,gold
2025-08-20,7.276,7.286,7.26,7.283,14919500,108525767,518800,黄金ETF,gold
2025-08-21,7.312,7.32,7.296,7.304,16063000,117418414,518800,黄金ETF,gold
2025-08-22,7.309,7.31,7.284,7.288,11053300,80644688,518800,黄金ETF,gold
2025-08-25,7.332,7.343,7.324,7.336,22701700,166485513,518800,黄金ETF,gold
2025-08-26,7.349,7.361,7.346,7.36,20710900,152332210,518800,黄金ETF,gold
2025-08-27,7.367,7.373,7.354,7.36,17695800,130312713,518800,黄金ETF,gold
2025-08-28,7.372,7.381,7.369,7.377,27319200,201516615,518800,黄金ETF,gold
